text,sentiment
tutorial input krs kak krs dipaketin masuk kampus semester suruh input krs bingung kak,neu
maaf min reset password akun siadin yatulisannya kode verifikasi temu,neu
wali coba,neu
kagum milik bahagia,neu
gimn dukung arhan samapi sukses nya amin ttp semangat syukur,neu
moga wujud mimpi mas arhan kuliah udinus,neu
dukung moga sehat,neu
sedia chant anthem suporter indonesia,neu
masyaallah allah cewek cantik kejar cita mu goda cewek bahagia orang tua,neu
selamat sukses semuanyasalam alumni tuwa,neu
mbak shella orang nya cantik manis hati kak arhan untung ya mbak shella,neu
kecewa ngefans kak,neu
denger suara shella medokk yaav,neu
bismillah somga kk marshellamenjadi istri sah nya kk arhanbagus bawa orang non muslim masuk islam hamba allah swtinsya allah allah subhanahu wata ala senang baginda nabi muhammad saw senangjika kk marshella peluk agama allah swtamiin allah huma amiinkhobul ya allah subhanahu wata ala,neu
cwenya keluarga salut sih nrima arhan bhkan arhan kenal,neu
janur kuning kibar sempat,neu
kecewa kokkn fens brrti hancur hubung,neu
arshel,neu
pacarny kayak senang bngt tuterangn langsung bilang pacarny,neu
kecewa sii tidak-apa-apa arhan bahagia,neu
ya main bola suka orang nya ganteng ramah tamah sopan sombong cntaoke boy,pos
tenang pacar janur melenhkung,neu
dukung,neu
uayuu poll ce shella,neu
sakityaallah sedih bgtt sdr ko siapa,neu
salam pa rindra,neu
,neu
nan,neu
ketemu arhan,neu
mbak cantik bangett,neu
pas qa arhan bilang nya cewek,neu
adik tingkat,neu
wanita rahim nya hangat arhan,neu
detik,neu
biasa,neu
min,neu
sesal solo bunkasai udinus lihat jakarta perform keren parah,neu
lihat fancam haru amel jaman kudu jeli nyari gampang banget semangat kumelia bikin orang bangga,neu
overture heavy rotation baby baby baby gingham cek,neg
overture heavy rotation babybabybaby gingham cek,neg
pas lagu ponytail shushu ku sonia team t line up lagu pts celine ci wawa team celine line up bangga moga depan celine,neu
perform istirahat kangen team jkit,neu
feni warna suara unik vokal bagus renyah telinga teknik oke,neu
wajar sich undang perform kirim tim da bukti i love tim i love tim k i love jakarta,pos
harap celine centre single moga next janken tournament celine menang,neu
rapsodi enak bangett asli,neu
haru pas rapsodi huhu pas disebutin judul respon langsung segitu hangat a lafyu semarang,neu
yaampunn sukaa bgttapalg pas lagu baby baby baby kompak banget,neu
njirr celine zee kak feni dancenya keren banget sh,neu
celine dancenya rapi,neu
pas lagu rapsodi asa nonton konser musik,neu
feni keren banget ngerti terimakasih upload ya,neu
wow senang banget terima min kasih oshi zee jakarta kawan,pos
m overture m heavy rotation m baby baby baby m gingham cek,neg
mantap dance nya team,neu
duh feni sinar,neg
rapsodi keren dibawain ber alias amel moga keren depan ya,neu
mantap team,neu
yeayy lihat yori bawain lagu rapsodi hihi,neu
dance zee detail banget syukaakk,neu
celine,neu
nya fancam lumayan kemarin nungguin banyak burem terimakasih,neu
keren banget sing along,neu
yori cocok banget team,neu
suara feny bgtt tau rapsody centernya feni wkwk sygnya feni rank harap bawaim sweet bitter team,neg
yoris costume seems be the seifuku worn by original member rica leyona,pos
yori imut banget haha,pos
gils gera detail ajiji cakepp bangett,neu
feni celline adon pas lengkap hasil enak,neu
keren,neu
celine sinar,neu
thank bang in zee we percaya,neu
weah yaa suka banget jktr prfom enak lihat ya,neu
celine kudeta shani ya,neu
feny enerjik banget,neu
thank bangg alhamdulillah ya celine masuk team,neu
feni,neu
tunggu versi fullnya terimakasih bang,neu
kemarin ikut nge live udinus nya lihat video move on mohon kali undang jakarta ya terimakasih,pos
wihh enak banget posisi nih,neu
mantul udinus chantnya ramai banget ngomong ngomong admin kamera canggih ya trik khusus settingan kamera cahaya video p pas coba ganti p wow mantap gambar video juragan nonton youtube asa sukses ya matur suwun,pos
dance aziz rapih banget sih o,neu
feni cahaya banget eh kena sorot lampu sih bingo musicnya emang ngebeat ya,neu
rapsody jadi jakarta beda family group,neu
sefiuku gingham cek baik seifuku single jakarta,neg
gila aura celine kuat ditransferbke tim,neu
kali formasi member full team sih member ngedance acoustic,pos
kembar deketan yak wkwkwk aziz cinhap lala ani kocak twins team,neu
deskripsi caption baik berjutajuta asumsi orangorang luar,neu
maaf nih lenceng video dapat fans jakarta ya new team t bentuk versi member cocok isi new team t,pos
my oshi zee next center team,neg
yori vibesnya yupimaria nako hkt,neu
nyletuk lagu enak,neu
team cocok lagu rusuh nih,neu
open mic,neu
celine,neu
fenii,neu
mpeen,neu
rindu lagu sanjou jakarta teri berlian,neu
maaf rapsodi jujur sukak vokal jernih biarpun open mic hehe,neu
a terimakasih share kemarin lihat,neu
binggo lagu team ki sih dibawain team ku suka banget team cocok banget lagu,neu
yori,neu
tim t,neu
mantap rapsodi kemarin team k team,neu
sana tim sorak lampu wkwkwk mantap,neu
celine semangat,neu
mantap full jernih kamerax terima kasih,pos
kirain tasya silap mata cinhap aziz kilas yak,neu
si ariel si zee bingung semangat deh,neu
lala moga masuk front line,neu
pts nyaa ngomong ngomong tumben bawain saikou kayo lagu bangsa chant wkwk,neu
njir hafal rapsodi,neu
cewek cantik kampus bilang apaansi jeket wkwk,neu
rapsodi feni openmic tara banget suara shani hehehehe,neu
maju cinhap dance energik,neu
lihat cinhap zee bingung wkwk kilas,neu
fokus celine sinar,neu
feni celine aziz,neu
lihat yori kaya lihat yupi dongauranya,neu
upah surga bang terimakasih,neu
terimakasih ngeshare,neu
celine,neu
mama lala anak yori blockingannya deketan mulu wkwk,neu
emang aziz cinhap gaya rambut,neu
keren,neu
ulangulang mulu biar pingsan berkalikali v,neu
jatuh bangkit,neu
mpen,neu
deskripsi nya demen nih mantap bro,neu
amel kumlee,neu
melody,neu
senter terang,neu
azz mantap banget weh,neu
yori nmbah lincah nih,neu
aziz mantap sih,neu
sempat pd junior gen gaby feni ngemongin feni ganti frieska,neu
duh lagu,neg
mantap maturnuwun,neu
celine team t,neu
rapsodi center nya okada nana akb,neg
trimakasih banget,neu
woww,neu
makas bangg,neu
gila si bunkasai ngundang jeket panitia ngamen ngumpulin dana wkwk,neu
tertawa pingsan v,neu
wayla nyari asadel susah banget wey cindy susah bedain,neu
lihat layar hp susah bedain cindy zee buset,neu
terimakasih min,neu
terimakasih banget bro,neu
terimakasih video bro,neu
shoot biar biar lihat membernya,neu
yass terimakasih bang uploadmau lihat celine kawan,neu
fancamku gagal garagara siram air rusak kamera sediih,neu
pahala uploadmakasih,neu
makas ya,neu
senbatsu,neu
wkwkw kocakk,neu
kakak panitia pakai jilbab pakai jilbab senenh banget hi touch membernya humble ariella kali tos wkwkk lucu banget,neg
aroma circus team nih,neu
menit si kembar aziz cinhap joget joget kocak sih kembar wkwkk,neu
nyari cindy tukar aziz mulu,neu
pas rapsodi ngshoot tonton nyalain flash hp,neu
saudara kembar wkwk,neu
old,pos
rok feni,neu
topi ya lucu feni pakai topi gingham,neu
kalala luv,neu
we ayu rek wkwkwwk,neu
fenichu,neu
miss ya dancenya,neu
azeezee,neu
chan overture nya nempo,neu
zee pakai baju ya,neu
bro request uplod pas rapsodi wkwk pen unduh full memori wkwk,pos
improvisasi nya feni ujung gigham cek yupi tendang,neu
lala bentukanny lucu lebar samping pen cubit,neu
ya ngundang jakarta acara ulang kampus,neu
wkwkwk pingsan,neu
ajijii,neu
seif pakai ani lengan rusak pakai,neu
feni terbang lagu guys,neu
feni gaby gils,neu
zee babyx kacau ya,neu
ani,neu
celine langsung depan awas kena tubir,neu
sana marco udinus bilangin dicariin bini tetran muslim,neu
udinus semarang v,neu
pas hp mati batrey low hadehh,neu
tolong kasih informasi chant gingham cek masuk lagu,neu
topi nya melody diseifuku pakai,neu
pliss dehh yori jan d blkng,neu
acara pakai up sisir skincare kawan kawan sita panitia,neu
lala masuk tim langsung anjlok njirr,neu
teles ya hpne neng harap gabyur banyu,neu
denger anak kos,neu
rapsodi open mic,neu
lala mleleh aku,neu
sih ngundang jakarta,neu
maju,neu
zee,neu
akustik yah,neu
haruka,neu
frieska sih hee,neu
zehh,neu
panggung dangdut maaf cocok jakarta panggung pantas dangdut panggung musik alay bangetjkt mewah panggung buka jelekkin panggung ajaini fans semarang panggung nyewa jakarta tampil jujur ya,neu
team t pindah team team k warna dancd rapih bagus mantap jakarta,neu
feni celline adon pas lengkap hasil enak,neu
teriak nampil tvri mention akun sosmedny tvri kali undang malam show net televisi mention undang jakarta,neu
feni celline adon pas lengkap hasil enak,neu
udinus kau pertama rasa bangku kuliah walopun semester sana genap syukur bangga terima kasih alam kenang tempo singkat doa baik depan udinus,neu
kangen banget nus inside heboh wisuda online sukses teman angkat hebat,neu
years a go kangen kampus biru,neu
moga jaya,neu
udinus a better future,pos
cinta udinus,neu
udinus mahalmutu kualitas tingkat parkir motor ajjh susahdempetan ikan pepes ajjh parkir mobil susah,neu
hell yeah,neu
cinta ligagame cok muslim,neu
cinta udinus,neu
bangsat cok muslim bawa,neu
hahaha,pos
bismilah lagu album kalih welas crito mustahil moga saget hibur,neu
warga indramayu sing saben dinane mangan sega lengko mal aidzin waalfaizin mohon maaf lahir batin jos pokok lagu e,neu
wong sawah kanggo ne mong den manok nikmat karya mu mas denny caknan enak pol,neu
masyarakat ngawi ramah bangga bangga brow deny bangga lokal ngawi pride,neu
semenjak suka dengerin lagu mas denny caknan orang jawa ngomong jawa tau artinyaskrng bangga lope orang jawa terimakasih karya mas denny caknan,neu
wakil kaum cidro terimakasih lagu wakil ungkap hati mas den,neu
user tank apresiasi karya mas dc lagu hebatmainnya hebat,neu
kang parlay lose bangga karya ne njengengan mas denny anti muntir,neu
buruh pabrik bangga lagu tani berkatifitas,neu
deny caknan salah artis penting didik keren lhodia pintar atur uang keren mas deny,neu
alhamdulillah cerito mustahil rilis jann mantap tenan lagune lagune mas deny judul judul lagu mas deny satu lagu bagus kartonyono medot janji moga kreator konten mas deny jos go tranding nomor,neu
paguyupan isahisah bangga karya mas denny,neu
musisi favorit suka karya mas denny enak tenan orang sunda suka lagu jawa gara mas denny caknan,neu
