text,text_clean,sentiment
"sayangny aku gajadi ambil udinus, but im  happy that got accepted in uni https://t.co/I65YhG9zFV",sayangny ambil udinus im senang got accepted uni,pos
"Over the years, we have grown and transformed into a multi-faceted company covering Plumbing, Drain Cleaning, Restoration, Septic, Leak Detection, Excavation, Pump Services, Crawl Space, Renovation, Water Mitigation, Mold Remediation &amp; Remodels. One call to Hukill's does it all.",years grown transformed multifaceted usaha covering plumbing drain cleaning restoration septic leak detection excavation pump services crawl space renovation water mitigation mold remediation amp remodels one telepon hukills,neu
"!dinusian smt 2 kan dipaketin, butuh input krs gak? Jamnya ga bisa milih?",dinusian smt dipaketin butuh input krs jam milih,neu
[cm] ada yg kuliah di Udinus Semarang ga ya? mau nanya nanya🥺,kuliah udinus semarang ya,neu
"Dulu buat jokes ""aku anak FK Udinus""
Eh ini bnran ada Wkwk",jokes anak fk udinus eh bnran wkwk,neu
"@alabacod Dari kapan?
Kemarin dengernya Unnes, ini Udinus juga 😭",kemarin dengernya unnes udinus,neu
!dinusian buat jurusan teknik informatika semester 2 masih dipaketin ga yaa?,dinusian jurus teknik informatika semester dipaketin yaa,neu
!dinusian ini beneran ada Fakultas Kedokteran di Udinus? Sejak kapann?😭,dinusian beneran fakultas dokter udinus kapann,neu
"jgn bingung mau masuk fk mana, fk udinus sj https://t.co/WDtkv3yakc",bingung masuk fk fk udinus,neg
!dinusian jurusan kesmas semester 2 krsnya masih di paketin kan?,dinusian jurus kesmas semester krsnya paketin,neu
"!dinusian kalo mau beasiswa mahasiswa berprestasi tu menang lomba dulu baru bilang ato sebelum mulai lombanya bilang dulu? Trus bilangnya ke mana ya? 
Makasih 🙏",dinusian beasiswa mahasiswa prestasi menang lomba bilang ato lomba bilang bilang ya terimakasih,pos
@ilovelavender4 LK itu apa?,lk,neu
!dinusian info cuaca dong?,dinusian informasi cuaca,neu
Federal spending decreased 12.4% in FY2022 after remaining relatively flat in FY2021. Measure the nation's progress with numbers instead of rhetoric. See more data on the state of our nation.,federal spending decreased fy remaining relatively flat fy measure nations progress numbers instead rhetoric see data state nation,neu
@thomasoneze @memefess Naks udinus diaaa wkwkwk https://t.co/uwjDPuSwil,naks udinus wkwkwk,neu
"Menonton Deny caknan dengan gayaaa, alias kebetulan banget ada kerjaan dan Udinus ngadain konser 🤣 https://t.co/O1y2DTGgZ5",tonton deny caknan gaya alias banget kerja udinus ada konser,neu
!dinusian ini masuk kuliah lagi kapan ya? gabut guling2 di rumah,dinusian masuk kuliah ya gabut guling rumah,neu
!dinusian yang lagi di dinusfest jangan lupa mampir stand PSM yaa ada takoyaki enakk. 🙌🏻 https://t.co/KW2dXsMLCw,dinusian dinusfest lupa mampir stand psm yaa takoyaki enakk,neg
"@MartiniGuyYT $NUSA 
NUSA FINANCE 🔥",nusa nusa finance,neu
GM Undip.eth,gm undipeth,neu
@x07xz88 Gm,gm,neu
@Maddzamil @EnsSalesBot @MrAwesome_25 Kocak gila si,kocak gila si,neg
"2. Rachel Priscila W. P. - Gold Medal Youth International Science Fair (YISF) 2022 by Indonesian Young Scientist Association (IYSA), Buca IMSEF &amp; Universitas Dian Nuswantoro https://t.co/B71heCF49r",rachel priscila p gold medal youth international science fair yisf indonesian young scientist association iysa buca imsef amp universitas dian nuswantoro,neu
HOTEL MANAGEMENT OF UNIVERSITAS DIAN NUSWANTORO -  ppt download https://t.co/A1uiKxsZEO,hotel management universitas dian nuswantoro ppt download,neu
"Organized by Indonesian Young Scientist Association collaboration with BUCA IMSEF Turkey, Departement of Food Science and Technology IPB University, and Universitas Dian Nuswantoro.

#JAYATEKNOLOGI
#HIMATEPAUH",organized indonesian young scientist association collaboration buca imsef turkey departement food science technology ipb university universitas dian nuswantoro,neu
